"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"bulletin:26A","The risk of disease is too great. A new protocol has been instituted.

All entrants must carry a valid CERTIFICATE OF VACCINATION with an up-to-date POLIO vaccine.

This requirement extends to natives, foreigners, diplomats, and asylum seekers.

Continued...","Риск эпидемии слишком высок. Введены новые правила.

Все въезжающие должны предъявлять СПРАВКУ О ПРИВИВКЕ, подтверждающую своевременную вакцинацию полиомиелита.

Это правило распространяется на граждан страны, иностранных граждан, дипломатов и беженцев.

Продолжение..."
"bulletin:26B","United Federation citizens are permitted entry with such certification.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Гражданам Микхаилии въезд разрешен при наличии справки.

Продолжайте изымать паспорта у граждан Тицкой Федерации, проживающих в районе АЛТАН."
"bulletin:27A","In order to improve efficiency, the ENTRY PERMIT and ID SUPPLEMENT have been consolidated into a single ACCESS PERMIT.

Foreigners are now required to present a valid ACCESS PERMIT.

Continued...","В целях повышения эффективности работы РАЗРЕШЕНИЕ НА ВЪЕЗД и ВНЕШНИЕ ДАННЫЕ объединены в единый документ - ВИЗУ НА ВЪЕЗД.

Иностранные граждане теперь должны предъявлять действительную ВИЗУ НА ВЪЕЗД.

Продолжение..."
"bulletin:27B","Yesterday's coordinated attack has prompted an emergency meeting. 

An important Kolechian negotiator will arrive today to discuss issues at this checkpoint.

Continue to confiscate Arstotzkan passports from residents living in ALTAN district.","Назначено срочное совещание, где будет обсуждаться вчерашнее организованное нападение. 

Сегодня из Эндеронии прибывает важный посредник, который обсудит проблемы нашего пропускного пункта.

Продолжайте изымать паспорта граждан Тицкой Федерации, проживающих в районе АЛТАН."
"bulletin:28A","In response to continued attacks, the Ministry of Information is expanding the passport confiscation program.

Confiscate all Arstotzkan passports from native entrants.

There are no exceptions.

Do not confiscate foreign passports.","Министерство информации вынуждено реагировать на постоянные нападения, расширив программу изъятия паспортов.

Изымайте паспорта у всех граждан Тицкой Федерации.

Исключений нет.

Не изымайте паспорта иностранных граждан."
"bulletin:29A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Все государственные служащие будут подвергнуты тщательной личной проверке. Связь с незаконными формированиями является основанием для немедленного ареста.

Ваше слушание назначено на 24 ДЕКАБРЯ

НЕ ВЫЕЗЖАЙТЕ ИЗ РАЙОНА СВОЕГО НАЗНАЧЕНИЯ.

Продолжение..."
"bulletin:29B","Continue to confiscate all Arstotzkan passports from native entrants.","Продолжайте изымать паспорта у всех въезжающих граждан Тицкой Федерации."
"bulletin:30A","[NOTICE] All government workers are subject to a thorough information audit. Involvement with unauthorized groups is grounds for immediate arrest.

Your audit is scheduled for: DECEMBER 24

DO NOT LEAVE YOUR DESIGNATED REGION.

Continued...","[NOTICE] Все государственные служащие будут подвергнуты тщательной личной проверке. Связь с незаконными формированиями является основанием для немедленного ареста.

Ваше слушание назначено на 24 ДЕКАБРЯ

НЕ ВЫЕЗЖАЙТЕ ИЗ РАЙОНА СВОЕГО НАЗНАЧЕНИЯ.

Продолжение..."
"bulletin:30B","Continue to confiscate all Arstotzkan passports from native entrants.","Продолжайте изымать паспорта у всех въезжающих граждан Тицкой Федерации."
"bulletin:31A","The Ministry of Admission is involved in discussions regarding the closure of this checkpoint.

Until a decision is made, maintain your duties as ordered.

Continued...","Министерство въезда проводит переговоры по вопросу закрытия данного пропускного пункта.

До окончания переговоров работайте в обычном режиме.

Продолжение..."
"bulletin:31B","You are scheduled for an information audit tomorrow morning.

DO NOT LEAVE YOUR DESIGNATED REGION.

Continue to confiscate all Arstotzkan passports from native entrants.","Ваше слушание назначено на утро завтрашнего дня.

НЕ ВЫЕЗЖАЙТЕ ИЗ РАЙОНА СВОЕГО НАЗНАЧЕНИЯ.

Продолжайте изымать паспорта у всех въезжающих граждан Тицкой Федерации."
"facts","$paper: Invalid $fact","$paper: ошибка -  $fact"
"facts","Missing $paper","Отсутствует $paper"
"facts","$0 DISTRICT","РАЙОН  $0"
"facts","Presence","усердие"
"facts","Sufficience","эффективную работу"
"facts","Excellence","отличную работу"
"facts","Obristan","Пивовск"
"facts","Antegria","Зумернация"
"facts","Republia","Вил-ланд"
"facts","UnitedFed","Микхаилия"
"facts","Impor","Инсектериал"
"facts","Kolechia","Эндерония"
"facts","Arstotzka","ТФ"
"facts","Skal","Скал"
"facts","Lorndaz","Лорндаз"
"facts","Mergerous","Мергерус"
"facts","St. Marmero","Сан-Мармеро"
"facts","Glorian","Глориан"
"facts","Outer Grouse","Аутер-Грауз"
"facts","True Glorian","Ст-Глориан"
"facts","Lesrenadi","Лесренади"
"facts","Bostan","Бостан"
"facts","Great Rapid","Грейт-Рэпид"
"facts","Shingleton","Шинглтон"
"facts","Korista City","Користа"
"facts","Enkyo","Энкё"
"facts","Haihan","Хайхан"
"facts","Tsunkeido","Цункейдо"
"facts","Yurko City","Юрко"
"facts","Vedor","Ведор"
"facts","West Grestin","Зап. Грештин"
"facts","Orvech Vonor","Орвич-Вонор"
"facts","East Grestin","Вост. Грештин"
"facts","Paradizna","Парадизна"
"facts","Passport","Паспорт"
"facts","Entry Ticket","Пропуск"
"facts","Entry Permit","Разрешение на въезд"
"facts","Work Pass","Разрешение на работу"
"facts","Id Card","Личная карта"
"facts","Id Supplement","Внешние данные"
"facts","Access Permit","Право на въезд"
"facts","Diplomatic Auth","Диплом. статус"
"facts","Asylum Grant","Право на убежище"
"facts","Vaccine Cert","Справка о вакц."
"facts","Identity Record","Личные данные"
"facts","Fingerprints","Отпечатки пальцев"
"facts","Name","имя"
"facts","Id Number","номер паспорта"
"facts","Expiration Date","срок истек"
"facts","Issuing City","город выдачи"
"facts","Birth Date","дата рождения"
"facts","Alias","второе имя"
"facts","Height","рост"
"facts","Weight","вес"
"facts","Description","описание"
"facts","Thumbprint","отпечаток"
"facts","Date","дата"
"facts","Purpose","цель поездки"
"facts","Duration","срок"
"facts","Face","лицо"
"facts","District","район"
"facts","Gender","пол"
"facts","Work End Date","работа до"
"facts","Altan","Алтан"
"facts","Vescillo","Вескилло"
"facts","Burnton","Бернтон"
"facts","Octovalis","Октовалис"
"facts","Gennistora","Геннистора"
"facts","Lendiforma","Лендиформа"
"facts","Wozenfield","Возенфилд"
"facts","Fardesto","Фардесто"
"facts","DENTISTRY","СТОМАТОЛОГИЯ"
"facts","HEALTH-CARE","МЕДИЦИНА"
"facts","GENERAL-LABOR","ПОДСОБНЫЕ РАБОТЫ"
"facts","ENGINEERING","МАШИНОСТРОЕНИЕ"
"facts","SPORTS","СПОРТ"
"facts","ARCHITECTURE","АРХИТЕКТУРА"
"facts","FOOD-SERVICE","ОБЩЕСТВ. ПИТАНИЕ"
"facts","AVIATION","АВИАЦИЯ"
"facts","ACCOUNTING","БУХГАЛТЕРИЯ"
"facts","FISHING","РЫБОЛОВСТВО"
"facts","DRAFTING","ПРОЕКТИРОВАНИЕ"
"facts","RESEARCH","НАУКА"
"facts","FINE-ARTS","ИЗОБР. ИСКУССТВА"
"facts","AGRICULTURE","СЕЛЬСКОЕ ХОЗЯЙСТВО"
"facts","MANUFACTURING","ПРОМЫШЛЕННОСТЬ"
"facts","CONSTRUCTION","СТРОИТЕЛЬСТВО"
"facts","SURVEYING","ГЕОДЕЗИЯ"
"facts","STATISTICS","СТАТИСТИКА"
"facts","POLIO","ПОЛИОМ."
"facts","HPV","ВПЧ"
"facts","COWPOX","ОСПА"
"facts","TETANUS","СТОЛБНЯК"
"facts","YEL.FEV.","МАЛЯРИЯ"
"facts","CHOLERA","ХОЛЕРА"
"facts","RUBELLA","КРАСНУХА"
"facts","HEP-B","ГЕПАТИТ B"
"facts","MEASLES","КОРЬ"
"facts","TUBERC.","ТУБЕР."
"facts","2 DAYS","2 ДНЯ"
"facts","14 DAYS","14 ДНЕЙ"
"facts","1 MONTH","1 МЕСЯЦ"
"facts","2 MONTHS","2 МЕСЯЦА"
"facts","3 MONTHS","3 МЕСЯЦА"
"facts","6 MONTHS","6 МЕСЯЦЕВ"
"facts","1 YEAR","1 ГОД"
"facts","FOREVER","ПОСТОЯННО"
"facts","visit","в гости"
"facts","transit","транзит"
"facts","work","работа"
"facts","immigrate","ПМЖ"
"facts","Possible Smuggler Admitted","Лицо подозр. в контрабанде"
"facts","Missing documents","Неполный комплект документов"
"facts","Wanted criminal admitted","Преступник, находится в розыске"
"facts","Incorrect purpose response","Ложный ответ на вопрос о цели визита"
"facts","Incorrect visit duration response","Ложный ответ на вопрос о сроке визита"
"facts","Passport: Non-matching photo","Паспорт: чужое фото"
"facts","Forged Entry Permit","Поддельное раз-ние на въезд"
"facts","Forged Work Pass","Поддельное раз-ние на работу"
"facts","Id Card: Non-matching photo","Личная карта: чужое фото"
"facts","Forged Access Permit","Поддельное Право на въезд"
"facts","No Diplomatic Access to Arstotzka","Нет дип. статуса в ТФ"
"facts","Forged Diplomatic Auth","Поддельный дип. паспорт"
"facts","Forged Asylum Grant Seal","Право на убежище: поддельная печать"
"facts","Necessary vaccine expired","Срок прививки истек"
"facts","Missing necessary vaccine","Отсутствует обязат. прививка"
"facts","Name does not match record","Имя не соотв. документам"
"facts","Alias does not match record","Второе имя не соотв. документам"
"facts","Fingerprints do not match record","Отпечатки не соотв. документам"
"facts","Cobrastan is not a real country","Страны Кобрастан не существует"
"facts","No entry from Antegria","Из Зумернации въезд запрещен"
"facts","No entry from Arstotzka","Из ТФ въезд запрещен"
"facts","No entry from Republia","Из Вил-ланда въезд запрещен"
"facts","No entry from United Fed","Из Микхаилии въезд запрещен"
"facts","No entry from Obristan","Из Пивовска въезд запрещен"
"facts","No entry from Impor","Из Инсектериала въезд запрещен"
"facts","No entry from Kolechia","Из Эндеронии въезд запрещен"
"facts","Possible Terrorist Admitted","Лицо подозр. в терроризме"
"facts","Entrant Holds Conflicting Passports","Два паспорта"
"facts","Entrant must have a passport","Въезжающий обязан предъявить паспорт"
"facts","Foreigners require an entry permit","Разреш. на въезд для иностранцев"
"facts","Foreigners require an entry ticket","Пропуск для иностранцев"
"facts","All documents must be current","Все док-ты должны быть действительны"
"facts","Workers must have a work pass","Для работы нужно разрешение"
"facts","Citizens must have an id card","У граждан должна быть личная карта"
"facts","Foreigners require an id supplement","Внешн. данные для иностранцев"
"facts","Arstotzkan citizens only","Только граждане Тицкой Федерации"
"facts","No entry from United Federation","Въезд из Микхаилии запрещен"
"facts","No weapons or contraband","Никакого оружия и контрабанды"
"facts","All Kolechians must be searched","Обыскивать всех эндеронцев"
"facts","Diplomats require authorization","Проверка дипстатуса обязательна"
"facts","Entrant must have polio vaccine cert","Справка о прививке пол-та обязательна"
"facts","Asylum seekers must have a grant","Беженцам нужно право на убежище"
"facts","Foreigners require an access permit","Право на въезд для иностранцев"
"facts","CONFISCATE ARSTOTZKAN PASSPORTS BELONGING TO ALTAN RESIDENTS.","ИЗЫМАТЬ ПАСПОРТА ТФ<br>У ЖИТЕЛЕЙ АЛТАНА."
"facts","CONFISCATE ALL ARSTOTZKAN PASSPORTS. NO EXCEPTIONS.","ИЗЫМАТЬ ВСЕ ПАСПОРТА ТФ. БЕЗ ИСКЛЮЧЕНИЙ."
"facts","Passport not confiscated","Паспорт не изъят"
"paper:SecondPassport","West Grestin","Западный Грештин"
"paper:Rules","Basic Rules","Общие правила"
"paper:Rules","Regional Map","Карта регионов"
"paper:Rules","Booth Info","Рабочее место"
"paper:Rules","Documents","Документы"
"paper:Rules","Confiscation","Изъятие"
"paper:Rules","Obristan","Пивовск"
"paper:Rules","Antegria","Зумернация"
"paper:Rules","Republia","Вил-ланд"
"paper:Rules","United","Мик"
"paper:Rules","Federation","хаилия"
"paper:Rules","Impor","Инсектериал"
"paper:Rules","Kolechia","Эндерония"
"paper:Rules","Arstotzka","ТФ"
"paper:Rules","ANTEGRIA","ЗУМЕРНАЦИЯ"
"paper:Rules","ARSTOTZKA","ТФ"
"paper:Rules","IMPOR","ИНСЕКТЕРИАЛ"
"paper:Rules","KOLECHIA","ЭНДЕРОНИЯ"
"paper:Rules","OBRISTAN","ПИВОВСК"
"paper:Rules","REPUBLIA","ВИЛ-ЛАНД"
"paper:Rules","UNITED FED.","МИКХАИЛИЯ"
"paper:Rules","Id Card (Native)","Лич. карта (гр. ТФ)"
"paper:Rules","Entry Permit","Разрешение на въезд"
"paper:Rules","Id Supplement","Внешние данные"
"paper:Rules","Access Permit","Право на въезд"
"paper:Rules","Work Pass","Разрешение на работу"
"paper:Rules","Diplomatic Auth.","Дип. статус"
"paper:Rules","Grant of Asylum","Убежище"
"paper:Rules","Vaccine Cert.","Справка о вакцинации"
"intro","Congratulations.","Поздравляем!"
"intro","The October labor lottery is complete. Your name was pulled.","Подведены итоги октябрьской лотереи рабочих мест! 
Вы - победитель!"
"intro","For immediate placement, report to the Ministry of Admission at Grestin Border Checkpoint.","Немедленно обратитесь в Министерство въезда на пропускном пункте Грештин, чтобы вступить в должность."
"intro","An apartment will be provided for you and your family in East Grestin. Expect a Class-8 dwelling.","Вашей семье будет предоставлена квартира в Восточном Грештине,  в жилом доме 8 класса."
"intro","Glory to Arstotzka.","Слава Тицкому!"
"end:in-debt","Arstotzka has zero tolerance for delinquency.","в Тицкой Федерации нет места злостным неплательщикам."
"end:in-debt","Your family will be sent back to their village.","Ваша семья будет оправлена в деревню, из которой вы приехали."
"end:in-debt","You are under arrest until your debts are repaid.","Вы помещаетесь под арест вплоть до  выплаты долга."
"end:in-debt","A replacement inspector will be found easily.","Найти вам замену на посту инспектора будет не трудно."
"end:in-debt","Glory to Arstotzka.","Слава Тицкому!"
"end:family-dead","Your entire family is gone.","Вся ваша семья погибла."
"end:family-dead","The Ministry Of Labor focuses on Arstotzka's future growth.","Главный приоритет Министерства труда - будущее процветание Тицкой Федерации."
"end:family-dead","Workers are expected to support large healthy families.","Работники должны содержать большие, здоровые семьи."
"end:family-dead","Your position will be filled by someone more appropriate.","Ваше место займет более достойный."
"end:family-dead","Glory to Arstotzka.","Слава Тицкому!"
"end:turned-over-ezic-docs","You are under arrest for associating with suspicious groups.","Вы арестованы за связь с антиправительственными группировками."
"end:turned-over-ezic-docs","The Ministry of Information will perform a full audit of your recent activities.","Министерство информации проведет полную проверку вашей деятельности за последнее время."
"end:turned-over-ezic-docs","Glory to Arstotzka.","Слава Тицкому!"
"end:caught-with-ezic-money","The Ministry of Income has discovered an anomaly in your earnings.","Министерство доходов обнаружило отклонения в структуре ваших финансовых поступлений."
"end:caught-with-ezic-money","You are under arrest pending a full audit of your recent activities.","Вы арестованы, будет проведена полная проверка вашей деятельности за последнее время."
"end:caught-with-ezic-money","Your family will likewise be held for questioning.","Ваша семья также задержана для допроса."
"end:caught-with-ezic-money","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:caught-with-ezic-money","Glory to Arstotzka.","Слава Тицкому!"
"end:killed-innocent","You are under arrest for the murder of an innocent.","Вы арестованы за убийство невиновного."
"end:killed-innocent","The penalty is death.","Вы приговорены к смертной казни."
"end:killed-innocent","Your family will be questioned about their involvement.","Членов вашей семьи подвергнут допросу, чтобы выяснить степень их причастности."
"end:killed-innocent","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:killed-innocent","Glory to Arstotzka.","Слава Тицкому!"
"end:tranqed-innocent","You are under arrest for attacking an innocent.","Вы арестованы за нападение на невиновного."
"end:tranqed-innocent","The penalty is forced labor.","Вы приговорены к каторжным работам."
"end:tranqed-innocent","Your family will be questioned about their involvement.","Членов вашей семьи подвергнут допросу, чтобы выяснить степень их причастности."
"end:tranqed-innocent","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:tranqed-innocent","Glory to Arstotzka.","Слава Тицкому!"
"end:killed-guard","You are under arrest for the murder of an Arstotzkan official.","Вы арестованы за убийство представителя власти ТФ."
"end:killed-guard","The penalty is death.","Вы приговорены к смертной казни."
"end:killed-guard","Your family will be questioned about their involvement.","Членов вашей семьи подвергнут допросу, чтобы выяснить степень их причастности."
"end:killed-guard","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:killed-guard","Glory to Arstotzka.","Слава Тицкому!"
"end:tranqed-guard","You are under arrest for attacking an Arstotzkan official.","Вы арестованы за нападение на представителя власти ТФ."
"end:tranqed-guard","The penalty is death.","Вы приговорены к смертной казни."
"end:tranqed-guard","Your family will be questioned about their involvement.","Членов вашей семьи подвергнут допросу, чтобы выяснить степень их причастности."
"end:tranqed-guard","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:tranqed-guard","Glory to Arstotzka.","Слава Тицкому!"
"end:killed-target","You are under arrest for the murder of an innocent.","Вы арестованы за убийство невиновного."
"end:killed-target","The penalty is death.","Вы приговорены к смертной казни."
"end:killed-target","Your family will be questioned about their involvement.","Членов вашей семьи подвергнут допросу, чтобы выяснить степень их причастности."
"end:killed-target","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:killed-target","Glory to Arstotzka.","Слава Тицкому!"
"end:killed-target","[A note appears from under the cell door]","[Из щели под дверью камеры появляется записка]"
"end:killed-target","INSPECTOR - FAMILY IS SAFE - TARGET ELIMINATED BUT OTHER PROBLEMS ARISE","ИНСПЕКТОР - ВАША СЕМЬЯ В БЕЗОПАСНОСТИ - ОБЪЕКТ УНИЧТОЖЕН, НО ВОЗНИКЛИ НОВЫЕ ПРОБЛЕМЫ"
"end:killed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","НОВЫЙ ИНСПЕКТОР ОТКАЗЫВАЕТСЯ ОТ СОТУДНИЧЕСТВА"
"end:killed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","МЫ БОЛЬШЕ НЕ МОЖЕМ ОКАЗЫВАТЬ ВАМ ПОДДЕРЖКУ - EZIC СНОВА УХОДИТ В ПОДПОЛЬЕ"
"end:killed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","ВАШУ СЕМЬЮ ВЫВЕЗУТ В ПИВОВСК - УДАЧИ"
"end:tranqed-target","You are under arrest for attacking an innocent.","Вы арестованы за нападение на невиновного."
"end:tranqed-target","The penalty is forced labor.","Вы приговорены к каторжным работам."
"end:tranqed-target","Your family will be questioned about their involvement.","Членов вашей семьи подвергнут допросу, чтобы выяснить степень их причастности."
"end:tranqed-target","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:tranqed-target","Glory to Arstotzka.","Слава Тицкому!"
"end:tranqed-target","[A note appears from under the cell door]","[Из щели под дверью камеры появляется записка]"
"end:tranqed-target","INSPECTOR - FAMILY IS SAFE - TARGET HAS RECOVERED IN HOSPITAL","ИНСПЕКТОР - ВАША СЕМЬЯ В БЕЗОПАСНОСТИ - ОБЪЕКТ ПРИШЕЛ В СЕБЯ В БОЛЬНИИЦЕ"
"end:tranqed-target","REPLACEMENT INSPECTOR NOT COOPERATIVE - EZIC ACTIVITIES HINDERED","НОВЫЙ ИНСПЕКТОР ОТКАЗЫВАЕТСЯ ОТ СОТРУДНИЧЕСТВА - ДЕЯТЕЛЬНОСТЬ EZIC СПРИОСТАНОВЛЕНА"
"end:tranqed-target","WE CANNOT PROVIDE FURTHER SUPPORT - EZIC TO HIBERNATE AGAIN","МЫ БОЛЬШЕ НЕ МОЖЕМ ОКАЗЫВАТЬ ВАМ ПОДДЕРЖКУ - EZIC СНОВА УХОДИТ В ПОДПОЛЬЕ"
"end:tranqed-target","FAMILY WILL BE TAKEN TO OBRISTAN - GOOD LUCK","ВАШУ СЕМЬЮ ВЫВЕЗУТ В ПИВОВСК - УДАЧИ"
"end:stuff-on-walls","You are under arrest for violating direct orders.","Вы арестованы за нарушение приказа."
"end:stuff-on-walls","The penalty is forced labor.","Вы приговорены к каторжным работам."
"end:stuff-on-walls","Your family will be sent back to their village.","Ваша семья будет оправлена в деревню, из которой вы приехали."
"end:stuff-on-walls","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:stuff-on-walls","Glory to Arstotzka.","Слава Тицкому!"
"end:arrested-boss-buddy","Your supervisor has reported you for theft of Arstotzkan property.","Ваш куратор доложил, что вы расхищаете имущество ТФ."
"end:arrested-boss-buddy","The penalty is forced labor.","Вы приговорены к каторжным работам."
"end:arrested-boss-buddy","Your family will be sent back to their village.","Ваша семья будет оправлена в деревню, из которой вы приехали."
"end:arrested-boss-buddy","The border will remain open under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:arrested-boss-buddy","Glory to Arstotzka.","Слава Тицкому!"
"end:wall-destroyed","The Grestin Border wall has been destroyed.","Пограничная стена в Грештине разрушена."
"end:wall-destroyed","You are under arrest for failure to defend the checkpoint.","Вы арестованы, поскольку не смогли защитить вверенный вам пропускной пункт."
"end:wall-destroyed","Your family will be sent back to their village.","Ваша семья будет оправлена в деревню, из которой вы приехали."
"end:wall-destroyed","The border will reopen under a replacement inspector.","Вам на замену прислан новый инспектор, пропускной пункт продолжит работу под его началом."
"end:wall-destroyed","Glory to Arstotzka.","Слава Тицкому!"
"end:help-ezic-kill-attackers-wall-safe","Hello inspector.","Добрый день, инспектор!"
"end:help-ezic-kill-attackers-wall-safe","We have audited your recent activities.","Мы провели проверку вашей деятельности."
"end:help-ezic-kill-attackers-wall-safe","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Установлено, что вы связаны с группой, называющей себя ОРДЕН ЗВЕЗДЫ EZIC."
"end:help-ezic-kill-attackers-wall-safe","Several members of this group have been arrested in Arstotzka.","На территории ТФ арестованы несколько членов этой организации."
"end:help-ezic-kill-attackers-wall-safe","At least one EZIC member has confessed to receiving your help.","По крайней мере один из членов EZIC показал, что вы оказывали ему помощь."
"end:help-ezic-kill-attackers-wall-safe","This represents treason of the highest order.","Это квалифицируется как государственная измена."
"end:help-ezic-kill-attackers-wall-safe","Goodbye inspector.","Прощайте, инспектор."
"end:help-ezic-kill-attackers-wall-safe","The execution is scheduled for tonight.","Казнь назначена на сегодня."
"end:help-ezic-kill-attackers-wall-safe","Your family's safety is unknown.","Ситуация, в которой находится ваша семья, неизвестна."
"end:help-ezic-kill-attackers-wall-safe","EZIC has been crushed. The balance of justice is restored.","EZIC уничтожен. Законность и порядок восстановлены."
"end:help-ezic-kill-attackers-wall-safe","Glory to Arstotzka.","Слава Тицкому!"
"end:help-ezic-kill-attackers-wall-safe","[A note appears from under the cell door]","[Из щели под дверью камеры появляется записка]"
"end:help-ezic-kill-attackers-wall-safe","INSPECTOR - YOU HAVE BETRAYED US AT THE LAST MOMENT","ИНСПЕКТОР - ВЫ ПРЕДАЛИ НАС В САМЫЙ ОТВЕТСТВЕННЫЙ МОМЕНТ"
"end:help-ezic-kill-attackers-wall-safe","THIS CHAPTER OF EZIC IS OVER - WE CAN OFFER NO HELP TO YOUR FAMILY","МЕСТНЫЙ КАПИТУЛ ОРДЕНА EZIC УНИЧТОЖЕН - МЫ НИЧЕМ НЕ СМОЖЕМ ПОМОЧЬ ВАШЕЙ СЕМЬЕ"
"end:help-ezic-kill-attackers-wall-destroyed","The border has been pierced.","Граница прорвана."
"end:help-ezic-kill-attackers-wall-destroyed","It is a glorious day for THE ORDER OF THE EZIC STAR but you have betrayed us at the last moment.","Это великий день для ОРДЕНА ЗВЕЗДЫ EZIC, но вы предали нас в самый ответственный момент."
"end:help-ezic-kill-attackers-wall-destroyed","EZIC grows strong while the corrupt and greedy weaken.","Могущество EZIC растет, в то время как слабые и продажные теряют силы."
"end:help-ezic-kill-attackers-wall-destroyed","Your betrayal means you have chosen the wrong side.","Ваше предательство означает, что вы не сумели сделать правильный выбор."
"end:help-ezic-kill-attackers-wall-destroyed","There is no place for you or your family in this revolution.","В нашей революции нет места ни для вас, ни для вашей семьи."
"end:help-ezic-kill-attackers-wall-destroyed","Goodbye inspector.","Прощайте, инспектор!"
"end:help-ezic-kill-attackers-wall-destroyed","Glory to the New Arstotzka.","Слава новой ТФ!"
"end:help-few-ezic","Hello inspector.","Добрый день, инспектор!"
"end:help-few-ezic","We have audited your recent activities.","Мы провели проверку вашей деятельности."
"end:help-few-ezic","Your involvement with a group calling themselves THE ORDER OF THE EZIC STAR has been uncovered.","Установлено, что вы связаны с группой, называющей себя ОРДЕН ЗВЕЗДЫ EZIC."
"end:help-few-ezic","Several members of this group have been arrested in Arstotzka.","На территории ТФ арестованы несколько членов этой организации."
"end:help-few-ezic","At least one EZIC member has confessed to receiving your help.","По крайней мере один из членов EZIC показал, что вы оказывали ему помощь."
"end:help-few-ezic","This represents treason of the highest order.","Это квалифицируется как государственная измена."
"end:help-few-ezic","Goodbye inspector.","Прощайте, инспектор."
"end:help-few-ezic","The execution is scheduled for tonight.","Казнь назначена на сегодня."
"end:help-few-ezic","Your family's safety is unknown.","Ситуация, в которой находится ваша семья, неизвестна."
"end:help-few-ezic","EZIC has been crushed. The balance of justice is restored.","EZIC уничтожен. Законность и порядок восстановлены."
"end:help-few-ezic","Glory to Arstotzka.","Слава Тицкому!"
"end:escape","You board the late train to the Northern Territories. It is nearly empty.","Вы садитесь в ночной поезд, идущий на Южно-Восточные Территории. В нем почти пусто."
"end:escape","You pay for the hastily forged passport and re-entry ticket. They look terrible.","Вы покупаете подделанный в спешке паспорт и новый пропуск. Они выглядят ужасно."
"end:escape","You pay for the hastily forged passports and re-entry tickets. They look terrible.","Вы покупаете подделанные в спешке паспорта и новые пропуска. Они выглядят ужасно."
"end:escape","You reach the border crossing at dawn. The line is immense.","К утру вы прибываете на границу. Очередь стоит огромная."
"end:escape","Six hours later.","Шесть часов спустя."
"end:escape","Your documents.","Документы."
"end:escape","Here.","Вот, пожалуйста."
"end:escape","You are entering alone?","Въезжаете один?"
"end:escape","Yes.","Да."
"end:escape","I come to visit relatives.","Я хочу навестить родственников."
"end:escape","No, my family as well.","Нет, вместе с семьей."
"end:escape","Hand over all documents now.","Давайте сюда все документы."
"end:escape","We come to visit relatives.","Мы хотим навестить родственников."
"end:escape","I do not care why you come. Wait here.","Меня не интересует, зачем вы приехали. Ждите."
"end:escape","*KACHUNK*","*ШЛЕП*"
"end:escape","Welcome to Obristan. Next!","Добро пожаловать в Пивовск. Следующий!"
"end:help-ezic-hold-fire","Inspector! It is a glorious day!","Инспектор! Великий день настал!"
"end:help-ezic-hold-fire","The border has been pierced.","Мы прорвали границу."
"end:help-ezic-hold-fire","EZIC grows strong while the corrupt and greedy weaken.","Могущество EZIC растет, в то время как слабые и продажные теряют силы."
"end:help-ezic-hold-fire","We are moving you and your family to a better home.","Мы намерены предоставить вам и вашей семье жилье гораздо лучшего качества."
"end:help-ezic-hold-fire","Your services as an inspector are no longer required. We need agents.","Ваши услуги в качестве инспектора нам больше не нужны. Нам нужны агенты."
"end:help-ezic-hold-fire","Follow us and together we will complete the revolution!","Вступайте в наши ряды, и мы вместе доведем революцию до победного конца!"
"end:help-ezic-hold-fire","Glory to the New Arstotzka.","Слава новой ТФ!"
"end:ignore-ezic","Hello inspector.","Здравствуйте, инспектор!"
"end:ignore-ezic","We have audited your activities for the past 20 years.","Мы провели проверку вашей деятельности за последние 20 лет."
"end:ignore-ezic","There are some anomalies.","Нельзя сказать, что все было гладко."
"end:ignore-ezic","But you have served Arstotzka well.","И все-таки ТФ благодарна вам за верную службу."
